iter	Passed	Remaining
139	22823	140203
140	22950	139816
141	23098	139568
142	23216	139136
143	23359	138861
144	23502	138584
145	23661	138401
146	23795	138078
147	23985	138077
148	24160	137988
149	24402	138281
150	24545	138010
151	24699	137796
152	24784	137205
153	24892	136748
154	25041	136518
155	25173	136193
156	25348	136106
157	25486	135818
158	25608	135453
159	25710	134979
160	25846	134689
161	26011	134552
162	26179	134433
163	26318	134162
164	26498	134098
165	26623	133759
166	26797	133665
167	26940	133419
168	27129	133400
169	27320	133386
170	27630	133952
171	27818	133915
172	28050	134088
173	28211	133923
174	28359	133695
175	28526	133554
176	28623	133090
177	28787	132941
178	28957	132817
179	29102	132577
180	29193	132095
181	29314	131756
182	29588	132098
183	29682	131634
184	29887	131667
185	30160	131994
186	30315	131799
187	30475	131626
188	30606	131333
189	30733	131020
190	30849	130667
191	30984	130392
192	31161	130297
193	31371	130337
194	31523	130134
195	31665	129893
196	31801	129626
197	32068	129891
198	32222	129700
199	32415	129661
200	32520	129273
201	32624	128883
202	32758	128615
203	32899	128371
204	33011	128021
205	33097	127570
206	33210	127225
207	33313	126846
208	33424	126500
209	33551	126216
210	33639	125789
211	33813	125683
212	33953	125452
213	34050	125063
214	34164	124741
215	34309	124531
216	34468	124371
217	34689	124436
218	34881	124395
219	35007	124117
220	35124	123810
221	35226	123451
222	35344	123151
223	35483	122926
224	35601	122627
225	35754	122452
226	35866	122137
227	35946	121714
228	36059	121406
229	36177	121116
230	36298	120837
231	36420	120563
232	36537	120276
233	36659	120004
234	36753	119645
235	36970	119685
236	37205	119779
237	37323	119496
238	37465	119294
239	37554	118923
240	37703	118742
241	37824	118475
242	37943	118202
243	38068	117948
244	38180	117659
245	38306	117412
246	38430	117158
247	38555	116911
248	38675	116649
249	38823	116469
250	38938	116194
251	39178	116290
252	39651	117074
253	39875	117114
254	40033	116961
255	40239	116946
256	40382	116747
257	40502	116483
258	40627	116236
259	40900	116408
260	41065	116273
261	41214	116093
262	41309	115761
263	41433	115512
264	41550	115245
265	41687	115033
266	41797	114747
267	41959	114605
268	42065	114312
269	42150	113961
270	42271	113712
271	42355	113364
272	42468	113093
273	42611	112905
274	42724	112637
275	42817	112318
276	42942	112084
277	43065	111846
278	43209	111664
279	43450	111728
280	43679	111763
281	43866	111688
282	44016	111519
283	44144	111295
284	44260	111039
285	44368	110765
286	44448	110423
287	44563	110171
288	44680	109924
289	44804	109692
290	44922	109451
291	45061	109258
292	45180	109019
293	45311	108808
294	45430	108570
295	45570	108385
296	45687	108143
297	46001	108366
298	46109	108102
299	46258	107937
300	46375	107696
301	46516	107511
302	46618	107238
303	46736	107002
304	46855	106769
305	47032	106667
306	47164	106466
307	47295	106261
308	47441	106090
309	47578	105899
310	47711	105701
311	47840	105494
312	47956	105260
313	48065	105008
314	48187	104788
315	48299	104547
316	48429	104345
317	48550	104124
318	48672	103906
319	48784	103666
320	48920	103480
321	49031	103240
322	49140	102997
323	49226	102707
324	49376	102550
325	49455	102247
326	49701	102290
327	49867	102167
328	49991	101958
329	50115	101749
330	50217	101497
331	50395	101398
332	50556	101265
333	50705	101107
334	50834	100910
335	50924	100637
336	51086	100504
337	51182	100245
338	51320	100068
339	51420	99816
340	51722	99956
341	51880	99816
342	51996	99596
343	52106	99365
344	52297	99289
345	52388	99024
346	52492	98782
347	52614	98576
348	52708	98319
349	52819	98093
350	52943	97892
351	53062	97682
352	53180	97472
353	53313	97288
354	53479	97166
355	53632	97020
356	53717	96750
357	53819	96513
358	53953	96335
359	54099	96177
360	54238	96005
361	54363	95811
362	54517	95668
363	54767	95692
364	54983	95656
365	55295	95784
366	55540	95795
367	55744	95734
368	55971	95712
369	56130	95574
370	56269	95400
371	56427	95260
372	56551	95060
373	56849	95153
374	57025	95042
375	57147	94840
376	57342	94758
377	57545	94690
378	57784	94681
379	57933	94522
380	58018	94260
381	58238	94218
382	58435	94137
383	58652	94087
384	58741	93834
385	58829	93578
386	58981	93425
387	59206	93387
388	59384	93275
389	59548	93139
390	59684	92961
391	59810	92767
392	59940	92579
393	60080	92407
394	60251	92284
395	60442	92190
396	60661	92138
397	60750	91889
398	60898	91728
399	61008	91513
400	61154	91350
401	61335	91240
402	61554	91186
403	61720	91053
404	61934	90990
405	62019	90738
406	62144	90544
407	62300	90396
408	62482	90287
409	62817	90395
410	63021	90316
411	63161	90142
412	63319	89996
413	63544	89944
414	63632	89698
415	63767	89519
416	63946	89402
417	64151	89321
418	64505	89445
419	64668	89304
420	64785	89099
421	64910	88905
422	65045	88726
423	65195	88567
424	65392	88472
425	65471	88217
426	65751	88233
427	65893	88062
428	66034	87891
429	66183	87732
430	66388	87645
431	66642	87622
432	66913	87621
433	67146	87568
434	67328	87449
435	67528	87353
436	67693	87212
437	67800	86995
438	67966	86854
439	68094	86665
440	68192	86439
441	68285	86206
442	68483	86106
443	68633	85946
444	68756	85752
445	68887	85568
446	69014	85380
447	69170	85227
448	69293	85035
449	69471	84910
450	69588	84709
451	69740	84553
452	69930	84441
453	70141	84355
454	70321	84230
455	70489	84093
456	70639	83932
457	70787	83770
458	70874	83535
459	71100	83465
460	71220	83271
461	71349	83086
462	71489	82916
463	71624	82739
464	71764	82568
465	71871	82359
466	71991	82165
467	72149	82015
468	72277	81832
469	72422	81668
470	72564	81500
471	72834	81476
472	72971	81301
473	73084	81102
474	73204	80910
475	73320	80713
476	73446	80529
477	73588	80362
478	73732	80197
479	73853	80008
480	73990	79836
481	74118	79654
482	74246	79473
483	74366	79282
484	74491	79098
485	74655	78956
486	74793	78786
487	74913	78598
488	75041	78417
489	75184	78252
490	75320	78082
491	75439	77892
492	75587	77734
493	75680	77518
494	75812	77343
495	75925	77149
496	76162	77082
497	76353	76966
498	76477	76784
499	76603	76603
500	76716	76410
501	76932	76319
502	77230	76309
503	77501	76271
504	77757	76217
505	77902	76055
506	78044	75889
507	78225	75761
508	78341	75570
509	78638	75555
510	78836	75442
511	78994	75291
512	79076	75068
513	79168	74855
514	79291	74672
515	79401	74476
516	79531	74301
517	79632	74098
518	79712	73875
519	79837	73696
520	79958	73512
521	80078	73329
522	80188	73135
523	80269	72916
524	80382	72727
525	80505	72547
526	80649	72385
527	80746	72182
528	80882	72014
529	81016	71844
530	81132	71659
531	81267	71490
532	81385	71307
533	81509	71129
534	81627	70947
535	81757	70774
536	81873	70591
537	82005	70420
538	82122	70238
539	82244	70059
540	82358	69874
541	82490	69706
542	82611	69527
543	82748	69362
544	82849	69168
545	82979	68997
546	83102	68821
547	83229	68648
548	83334	68458
549	83484	68305
550	83734	68233
551	83913	68103
552	84046	67936
553	84198	67784
554	84312	67601
555	84451	67439
556	84571	67262
557	84697	67090
558	84844	66934
559	84967	66759
560	85088	66584
561	85241	66433
562	85427	66308
563	85740	66281
564	86021	66229
565	86274	66154
566	86558	66101
567	86869	66069
568	87033	65924
569	87186	65772
570	87383	65652
571	87582	65533
572	87729	65376
573	87866	65210
574	87961	65014
575	88126	64871
576	88270	64711
577	88520	64629
578	88638	64450
579	88841	64333
580	89002	64185
581	89170	64043
582	89376	63927
583	89532	63776
584	89755	63672
585	90041	63612
586	90202	63464
587	90340	63299
588	90432	63103
589	90583	62948
590	90782	62825
591	90968	62694
592	91153	62562
593	91430	62492
594	91688	62409
595	91815	62237
596	91998	62103
597	92103	61915
598	92226	61741
599	92357	61571
600	92554	61446
601	92749	61319
602	92919	61175
603	93056	61010
604	93231	60870
605	93395	60722
606	93534	60558
607	93661	60386
608	93782	60211
609	93933	60055
610	94081	59898
611	94234	59743
612	94465	59637
613	94729	59553
614	94965	59449
615	95184	59335
616	95367	59198
617	95525	59046
618	95710	58910
619	95901	58778
620	96034	58610
621	96162	58439
622	96325	58290
623	96452	58118
624	96555	57933
625	96697	57771
626	96820	57598
627	96928	57415
628	97066	57252
629	97182	57075
630	97281	56889
631	97393	56710
632	97525	56543
633	97667	56382
634	97804	56218
635	97924	56044
636	98031	55864
637	98183	55709
638	98330	55551
639	98474	55391
640	98604	55224
641	98709	55043
642	98832	54872
643	98970	54710
644	99116	54552
645	99234	54379
646	99378	54220
647	99525	54063
648	99641	53889
649	99755	53714
650	99890	53551
651	100170	53465
652	100375	53338
653	100545	53193
654	100731	53057
655	100879	52900
656	101049	52754
657	101128	52562
658	101211	52371
659	101363	52217
660	101478	52044
661	101787	51970
662	101926	51808
663	102035	51632
664	102164	51466
665	102283	51295
666	102481	51163
667	102711	51048
668	102965	50944
669	103168	50814
670	103354	50676
671	103564	50549
672	103703	50387
673	103855	50232
674	103987	50068
675	104090	49889
676	104223	49725
677	104310	49540
678	104447	49378
679	104565	49207
680	104706	49047
681	104830	48879
682	104943	48707
683	105063	48537
684	105189	48371
685	105308	48202
686	105446	48041
687	105567	47873
688	105683	47703
689	105787	47527
690	105925	47367
691	106063	47207
692	106214	47053
693	106340	46887
694	106477	46727
695	106581	46552
696	106900	46471
697	107041	46313
698	107225	46172
699	107348	46006
700	107458	45834
701	107583	45669
702	107680	45492
703	107822	45334
704	107943	45168
705	108065	45001
706	108184	44834
707	108317	44673
708	108448	44511
709	108719	44406
710	108889	44260
711	109033	44103
712	109157	43938
713	109259	43765
714	109422	43615
715	109716	43518
716	109959	43401
717	110291	43317
718	110520	43193
719	110729	43061
720	110913	42919
721	111084	42772
722	111218	42610
723	111357	42451
724	111480	42285
725	111732	42168
726	111905	42022
727	112018	41852
728	112148	41690
729	112236	41512
730	112357	41346
731	112471	41177
732	112597	41014
733	112867	40902
734	113032	40753
735	113199	40604
736	113299	40431
737	113391	40255
738	113524	40094
739	113613	39918
740	113711	39745
741	113826	39578
742	113950	39415
743	114095	39258
744	114223	39096
745	114338	38930
746	114468	38769
747	114630	38618
748	114768	38460
749	114880	38293
750	114995	38127
751	115177	37984
752	115391	37850
753	115580	37709
754	115730	37554
755	115827	37383
756	115965	37225
757	116218	37103
758	116564	37011
759	116891	36913
760	117071	36767
761	117303	36638
762	117539	36509
763	117715	36362
764	117934	36228
765	118116	36082
766	118235	35917
767	118367	35756
768	118488	35592
769	118617	35431
770	118735	35266
771	118849	35100
772	118971	34937
773	119112	34779
774	119237	34617
775	119367	34456
776	119518	34302
777	119647	34141
778	119779	33981
779	119924	33824
780	120045	33661
781	120190	33505
782	120320	33345
783	120450	33185
784	120575	33023
785	120711	32865
786	120861	32710
787	120977	32547
788	121076	32379
789	121202	32218
790	121309	32052
791	121466	31900
792	121586	31738
793	121898	31626
794	122064	31475
795	122198	31317
796	122332	31158
797	122450	30996
798	122570	30834
799	122686	30671
800	122802	30509
801	122910	30344
802	123025	30181
803	123177	30028
804	123420	29896
805	123808	29800
806	124075	29673
807	124280	29532
808	124467	29385
809	124763	29265
810	124960	29121
811	125116	28967
812	125268	28813
813	125421	28658
814	125532	28495
815	125673	28338
816	125817	28181
817	125964	28026
818	126093	27866
819	126202	27702
820	126331	27543
821	126426	27376
822	126546	27215
823	126700	27062
824	126822	26901
825	126906	26733
826	127053	26578
827	127194	26421
828	127329	26264
829	127454	26105
830	127611	25952
831	127727	25791
832	127855	25632
833	127977	25472
834	128117	25316
835	128308	25170
836	128419	25008
837	128557	24852
838	128710	24698
839	128932	24558
840	129140	24415
841	129358	24273
842	129619	24140
843	129844	23999
844	130140	23871
845	130359	23729
846	130678	23605
847	130915	23465
848	131094	23315
849	131266	23164
850	131409	23008
851	131575	22855
852	131746	22704
853	131916	22552
854	132179	22416
855	132359	22266
856	132543	22116
857	132720	21965
858	132865	21809
859	132998	21650
860	133096	21487
861	133249	21332
862	133435	21182
863	133651	21037
864	133802	20882
865	134051	20742
866	134328	20606
867	134651	20476
868	134846	20327
869	135018	20175
870	135150	20016
871	135471	19885
872	135625	19730
873	135796	19577
874	135947	19421
875	136126	19269
876	136271	19112
877	136533	18971
878	136732	18822
879	136873	18664
880	136971	18501
881	137089	18340
882	137208	18180
883	137327	18020
884	137473	17863
885	137608	17705
886	137744	17548
887	137863	17388
888	137989	17229
889	138078	17065
890	138230	16910
891	138384	16755
892	138507	16596
893	138637	16438
894	138758	16278
895	138882	16120
896	139041	15965
897	139272	15819
898	139485	15670
899	139708	15523
900	139936	15375
901	140131	15224
902	140270	15067
903	140395	14909
904	140549	14753
905	140688	14596
906	140817	14438
907	140949	14281
908	141073	14122
909	141202	13965
910	141331	13807
911	141491	13652
912	141633	13496
913	141765	13338
914	141905	13182
915	142042	13025
916	142197	12870
917	142322	12712
918	142443	12554
919	142565	12397
920	142692	12239
921	142816	12082
922	142941	11924
923	143075	11768
924	143218	11612
925	143348	11455
926	143521	11302
927	143785	11155
928	144018	11006
929	144450	10872
930	144715	10725
931	144920	10573
932	145103	10420
933	145379	10273
934	145597	10121
935	145796	9969
936	145917	9810
937	146046	9653
938	146177	9496
939	146414	9345
940	146700	9197
941	146899	9044
942	147065	8889
943	147218	8733
944	147357	8576
945	147508	8420
946	147639	8262
947	147880	8111
948	148260	7967
949	148498	7815
950	148752	7664
951	148971	7511
952	149224	7359
953	149415	7204
954	149577	7048
955	149738	6891
956	149903	6735
957	150020	6577
958	150177	6420
959	150304	6262
960	150655	6114
961	150759	5955
962	150879	5797
963	151014	5639
964	151185	5483
965	151348	5326
966	151530	5171
967	151635	5012
968	151759	4855
969	151960	4699
970	152136	4543
971	152326	4388
972	152535	4232
973	152771	4078
974	152947	3921
975	153071	3764
976	153298	3608
977	153516	3453
978	153654	3295
979	153782	3138
980	153919	2981
981	154065	2824
982	154192	2666
983	154349	2509
984	154464	2352
985	154576	2194
986	154747	2038
987	154959	1882
988	155091	1724
989	155210	1567
990	155344	1410
991	155476	1253
992	155711	1097
993	155940	941
994	156340	785
995	156601	628
996	156723	471
997	156851	314
998	157058	157
999	157180	0
