iter	Logloss
0	0.2787432992
1	0.1134337666
2	0.04689453413
3	0.02149327658
4	0.01032550606
5	0.005340386304
6	0.002873720328
7	0.001699633355
8	0.001093560046
9	0.0007132573005
10	0.0004913725381
11	0.0003433085205
12	0.0002476203061
13	0.0001893368893
14	0.0001426796777
15	0.0001126515165
16	9.110418574e-05
17	7.483905358e-05
18	6.178539898e-05
19	5.301088489e-05
20	4.50828538e-05
21	4.003072206e-05
22	4.003072206e-05
23	4.003072206e-05
24	4.003072206e-05
25	4.003072206e-05
26	4.003072206e-05
27	4.003072206e-05
28	4.0052079e-05
29	4.0052079e-05
30	4.0052079e-05
31	4.005175824e-05
32	4.005175824e-05
33	4.004660847e-05
34	4.004660847e-05
35	4.002307494e-05
36	4.002307494e-05
37	4.002307494e-05
38	3.756067702e-05
39	3.756067702e-05
40	3.756067702e-05
41	3.756067702e-05
42	3.756067702e-05
43	3.756304395e-05
44	3.756503724e-05
45	3.756379121e-05
46	3.756379121e-05
47	3.756379121e-05
48	3.444365737e-05
49	3.444365737e-05
50	3.444365737e-05
51	3.444365737e-05
52	3.444365737e-05
53	3.444365737e-05
54	3.44437619e-05
55	3.442905278e-05
56	3.064060708e-05
57	3.063054722e-05
58	3.063054722e-05
59	3.063054722e-05
60	3.062627513e-05
61	3.062627513e-05
62	3.063653062e-05
63	3.063653062e-05
64	3.063583799e-05
65	3.063027405e-05
66	3.062423601e-05
67	3.062891523e-05
68	3.062891523e-05
69	3.062891523e-05
70	3.062891523e-05
71	3.062832658e-05
72	3.062832658e-05
73	3.062364032e-05
74	3.062074643e-05
75	3.062074291e-05
76	3.062074291e-05
77	3.062074291e-05
78	3.062074291e-05
79	3.062074291e-05
80	3.062074291e-05
81	3.062074291e-05
82	3.062074291e-05
83	3.062074291e-05
84	3.061612538e-05
85	3.061612538e-05
86	3.061612538e-05
87	3.061612538e-05
88	3.061922547e-05
89	3.061922547e-05
90	3.06179953e-05
91	3.061630867e-05
92	3.061630867e-05
93	3.061935765e-05
94	2.839474434e-05
95	2.83782781e-05
96	2.838254843e-05
97	2.838216863e-05
98	2.838138964e-05
99	2.838032515e-05
100	2.838340761e-05
101	2.838340761e-05
102	2.838340761e-05
103	2.83817668e-05
104	2.838233959e-05
105	2.83776824e-05
106	2.837632094e-05
107	2.837766919e-05
108	2.837766919e-05
109	2.837484051e-05
110	2.837430121e-05
111	2.8371254e-05
112	2.8371254e-05
113	2.8366996e-05
114	2.836712025e-05
115	2.836671402e-05
116	2.836460353e-05
117	2.836460353e-05
118	2.836460353e-05
119	2.835834519e-05
120	2.835899376e-05
121	2.8356366e-05
122	2.83509078e-05
123	2.8346819e-05
124	2.834890482e-05
125	2.835155373e-05
126	2.834814962e-05
127	2.834798131e-05
128	2.834810468e-05
129	2.834827916e-05
130	2.834635901e-05
131	2.834530332e-05
132	2.834236802e-05
133	2.834236802e-05
134	2.834642422e-05
135	2.834600564e-05
136	2.834301042e-05
137	2.834301042e-05
138	2.834301042e-05
139	2.83466921e-05
140	2.83466921e-05
141	2.83452857e-05
142	2.83452857e-05
143	2.83452857e-05
144	2.834127092e-05
145	2.834495613e-05
146	2.834314436e-05
147	2.834119778e-05
148	2.834032626e-05
149	2.833793643e-05
150	2.833312768e-05
151	2.833312768e-05
152	2.83379708e-05
153	2.833488569e-05
154	2.833343346e-05
155	2.833343346e-05
156	2.833207287e-05
157	2.83357669e-05
158	2.833162346e-05
159	2.833081627e-05
160	2.832931381e-05
161	2.833320787e-05
162	2.833238658e-05
163	2.832808982e-05
164	2.832586477e-05
165	2.832855509e-05
166	2.832619258e-05
167	2.832210086e-05
168	2.832673425e-05
169	2.832434618e-05
170	2.832216783e-05
171	2.832474096e-05
172	2.831999742e-05
173	2.831943609e-05
174	2.831748245e-05
175	2.831895143e-05
176	2.831781467e-05
177	2.831389858e-05
178	2.831438413e-05
179	2.831350292e-05
180	2.831182334e-05
181	2.831169557e-05
182	2.831210709e-05
183	2.831210709e-05
184	2.831355491e-05
185	2.830790021e-05
186	2.830612369e-05
187	2.830612369e-05
188	2.830612369e-05
189	2.830253718e-05
190	2.830863161e-05
191	2.830863161e-05
192	2.830863161e-05
193	2.830863161e-05
194	2.830863161e-05
195	2.830863161e-05
196	2.830863161e-05
197	2.830863161e-05
198	2.830863161e-05
199	2.830863161e-05
200	2.830863161e-05
201	2.830863161e-05
202	2.830863161e-05
203	2.830863161e-05
204	2.830863161e-05
205	2.830863161e-05
206	2.830863161e-05
207	2.830863161e-05
208	2.830863161e-05
209	2.830863161e-05
210	2.830863161e-05
211	2.830863161e-05
212	2.830863161e-05
213	2.830863161e-05
214	2.830863161e-05
215	2.830863161e-05
216	2.830863161e-05
217	2.830863161e-05
218	2.830863161e-05
219	2.830863161e-05
220	2.830863161e-05
221	2.830863161e-05
222	2.830863161e-05
223	2.830863161e-05
224	2.830863161e-05
225	2.830863161e-05
226	2.830863161e-05
227	2.830863161e-05
228	2.830863161e-05
229	2.830863161e-05
230	2.830863161e-05
231	2.830863161e-05
232	2.830863161e-05
233	2.830863161e-05
234	2.830863161e-05
235	2.830863161e-05
236	2.830863161e-05
237	2.830863161e-05
238	2.830863161e-05
239	2.830863161e-05
240	2.830863161e-05
241	2.830863161e-05
242	2.830863161e-05
243	2.830863161e-05
244	2.830863161e-05
245	2.830863161e-05
246	2.830863161e-05
247	2.830863161e-05
248	2.830863161e-05
249	2.830863161e-05
250	2.830863161e-05
251	2.830863161e-05
252	2.830863161e-05
253	2.830863161e-05
254	2.830863161e-05
255	2.830863161e-05
256	2.830863161e-05
257	2.830863161e-05
258	2.830863161e-05
259	2.830863161e-05
260	2.830863161e-05
261	2.830863161e-05
262	2.830863161e-05
263	2.830863161e-05
264	2.830863161e-05
265	2.830863161e-05
266	2.830863161e-05
267	2.830863161e-05
268	2.830863161e-05
269	2.830863161e-05
270	2.830863161e-05
271	2.830863161e-05
272	2.830863161e-05
273	2.830863161e-05
274	2.830863161e-05
275	2.830863161e-05
276	2.830863161e-05
277	2.830863161e-05
278	2.830863161e-05
279	2.830863161e-05
280	2.830863161e-05
281	2.830863161e-05
282	2.830863161e-05
283	2.830863161e-05
284	2.830863161e-05
285	2.830863161e-05
286	2.830863161e-05
287	2.830863161e-05
288	2.830863161e-05
289	2.830863161e-05
290	2.830863161e-05
291	2.830863161e-05
292	2.830863161e-05
293	2.830863161e-05
294	2.830863161e-05
295	2.830863161e-05
296	2.830863161e-05
297	2.830863161e-05
298	2.830863161e-05
299	2.830863161e-05
300	2.830863161e-05
